number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
1,Pinaceae,Abies,alba,Abies alba,E.ch.ect.,Ectomycorrhiza ,148,7,,,,ok
2,Pinaceae,Abies,alba,Abies alba,Ecto,Ectomycorrhiza ,153,,+,,,ok
3,Pinaceae,Abies,amabilis,Abies amabilis,Ecto,Ectomycorrhiza ,153,,+,,,ok
4,Pinaceae,Abies,arizonica,Abies arizonica,E.ch.ect.,Ectomycorrhiza ,148,7,,,,ok
5,Pinaceae,Abies,balsamea,Abies balsamea,E.ch.ect.,Ectomycorrhiza ,148,11,,,,ok
6,Pinaceae,Abies,balsamea,Abies balsamea,Ecto,Ectomycorrhiza ,151,,+,,,ok
7,Pinaceae,Abies,balsamea,Abies balsamea,Ecto,Ectomycorrhiza ,153,,+,,,ok
8,Pinaceae,Abies,cephalonica,Abies cephalonica,E.ch.ect.,Ectomycorrhiza ,148,15,,,,ok
9,Pinaceae,Abies,cilicica,Abies cilicica,E.ch.ect.,Ectomycorrhiza ,148,7,,,,ok
10,Pinaceae,Abies,cilicica,Abies cilicica,Ecto,Ectomycorrhiza ,151,,+,,,ok
11,Pinaceae,Abies,concolor,Abies concolor,E.ch.ect.,Ectomycorrhiza ,148,23,,,,ok
12,Pinaceae,Abies,concolor,Abies concolor,Ecto,Ectomycorrhiza ,153,,+,,,ok
13,Pinaceae,Abies,firma,Abies firma,E.ch.ect.,Ectomycorrhiza ,148,4,,,,ok
14,Pinaceae,Abies,firma,Abies firma,Ecto,Ectomycorrhiza ,153,,+,,,ok
15,Pinaceae,Abies,fraseri,Abies fraseri,E.ch.ect.,Ectomycorrhiza ,148,9,,,,ok
16,Pinaceae,Abies,gamblei,Abies gamblei,E.ch.ect.,Ectomycorrhiza ,149,15,,,,ok
17,Pinaceae,Abies,grandis,Abies grandis,E.ch.ect.,Ectomycorrhiza ,148,18,,,,ok
18,Pinaceae,Abies,grandis,Abies grandis,Ecto,Ectomycorrhiza ,153,,+,,,ok
19,Pinaceae,Abies,holophylla,Abies holophylla,E.ch.ect.,Ectomycorrhiza ,28,,+,,,ok
20,Pinaceae,Abies,holophylla,Abies holophylla,E.ch.ect.,Ectomycorrhiza ,148,9,,,,ok
21,Pinaceae,Abies,holophylla,Abies holophylla,Ecto,Ectomycorrhiza ,153,,+,,,ok
22,Pinaceae,Abies,homolepis,Abies homolepis,E.ch.ect.,Ectomycorrhiza ,148,42,,,,ok
23,Pinaceae,Abies,koreana,Abies koreana,E.ch.ect.,Ectomycorrhiza ,148,9,,,,ok
24,Pinaceae,Abies,lasiocarpa,Abies lasiocarpa,Ecto,Ectomycorrhiza ,153,,+,,,ok
25,Pinaceae,Abies,magnifica,Abies magnifica,E.ch.ect.,Ectomycorrhiza ,153,,+,,,ok
26,Pinaceae,Abies,mayriana,Abies mayriana,E.ch.ect.,Ectomycorrhiza ,153,,+,,,ok
27,Pinaceae,Abies,nephrolepis,Abies nephrolepis,E.ch.ect.,Ectomycorrhiza ,28,,+,,,ok
28,Pinaceae,Abies,nephrolepis,Abies nephrolepis,E.ch.ect.,Ectomycorrhiza ,148,11,,,,ok
29,Pinaceae,Abies,nephrolepis,Abies nephrolepis,E.ch.ect.,Ectomycorrhiza ,149,,+,,,ok
30,Pinaceae,Abies,nobilis,Abies nobilis,E.ch.ect.,Ectomycorrhiza ,151,,+,,,ok
31,Pinaceae,Abies,nordmanniana,Abies nordmanniana,E.ch.ect.,Ectomycorrhiza ,95,,+,,,ok
32,Pinaceae,Abies,nordmanniana,Abies nordmanniana,E.ch.ect.,Ectomycorrhiza ,148,33,,,,ok
33,Pinaceae,Abies,nordmanniana,Abies nordmanniana,Ecto,Ectomycorrhiza ,151,,+,,,ok
34,Pinaceae,Abies,nordmanniana,Abies nordmanniana,Ecto,Ectomycorrhiza ,153,,+,,,ok
35,Pinaceae,Abies,numidica,Abies numidica,E.ch.ect.,Ectomycorrhiza ,148,62,,,,ok
36,Pinaceae,Abies,pindrow,Abies pindrow,Ecto,Ectomycorrhiza ,153,,+,,,ok
37,Pinaceae,Abies,pinsapo,Abies pinsapo,E.ch.ect.,Ectomycorrhiza ,148,26,,,,ok
38,Pinaceae,Abies,sachalinensis,Abies sachalinensis,E.ch.ect.,Ectomycorrhiza ,148,39,,,,ok
39,Pinaceae,Abies,sachalinensis,Abies sachalinensis,Ecto,Ectomycorrhiza ,153,,+,,,ok
40,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,8,100,,,,ok
41,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,9,100,,,,ok
42,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,10,100,,,,ok
43,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,11,100,,,,ok
44,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,12,100,,,,ok
45,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,13,100,,,,ok
46,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,14,100,,,,ok
47,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,19,100,,,,ok
48,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,23,100,,,,ok
49,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,27,,+,,,ok
50,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,88,100,,,,ok
51,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,90,100,,,,ok
52,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,147,,+,,,ok
53,Pinaceae,Abies,sibirica,Abies sibirica,E.ch.ect.,Ectomycorrhiza ,148,69,,,,ok
54,Pinaceae,Abies,veitchii,Abies veitchii,E.ch.ect.,Ectomycorrhiza ,148,9,,,,ok
55,Pinaceae,Abies,wilsonii,Abies wilsonii,E.ch.ect.,Ectomycorrhiza ,28,,+,,,ok
56,Malvaceae,Abutilon,hybridum,Abutilon hybridum,Ph.th.end.,AM,145,,+,,,ok
57,Fabaceae,Acacia,dealbata,Acacia dealbata,Ph.th.end.,AM,149,30,,,,ok
58,Euphorbiaceae,Acalypha,wilkesiana,Acalypha wilkesiana,no,no,154,0,,,,ok
59,Caryophyllaceae,Acanthophyllum,borsczowi,Acanthophyllum borsczowi,no,no,52,0,,,,ok
